DataType,IterationNumber,numPoints,runs,trueBeta,MCLTSBetaAvg,MCLTSBetaAvgError,MCLTSBetaStd,NoisyStatsBetaAvg,NoisyStatsBetaAvgError,NoisyStatsStd,
Gaussian,10,10,10,0.4596126703415877,2.776421330565849,2.316808660224261,0.9365467187299457,-0.37059089937058404,0.8302035697121717,11.532212890994105,
Bimodal,10,10,10,-0.14880500708995487,0.6067238323138975,0.7555288394038524,0.23757353057440178,-0.6066389819812108,0.45783397489125593,3.1188923025943556,
Outlier,10,10,10,77.71369476538567,-1421.9152789492523,1499.628973714638,778.7054068917139,-2.7565140648502453,80.47020883023592,5.538457035353025,
Gaussian,10,10,10,0.9761329393536706,2.4026854314473085,1.4265524920936379,0.6280045033795549,-0.5721120324019732,1.548244971755644,4.9974959851619065,
Bimodal,10,10,10,0.2975157416388006,0.796033411483895,0.4985176698450943,0.20195085680899721,1.5852286636722632,1.2877129220334627,3.165227111662234,
Outlier,10,10,10,0.21323030368172766,0.420367766177567,0.20713746249583934,0.17033652653295836,-0.749279969633983,0.9625102733157107,2.5583660041560945,
Gaussian,10,10,10,0.8104581704270679,1.0250942961779383,0.21463612575087043,0.22352330086107353,-30.777602860514758,31.588061030941827,86.85860591724348,
Bimodal,10,10,10,0.22297098771327234,-0.6628021091911117,0.885773096904384,0.37834135346531533,1.4621776940039193,1.2392067062906469,5.328196396421396,
Outlier,10,10,10,103.77304862121257,321.2356819538294,217.4626333326168,167.21699834012202,4.037355354504544,99.73569326670803,10.186062596868023,
Gaussian,10,10,10,0.6860427162687818,0.9481955565833944,0.2621528403146126,0.052991529379824584,0.6803079624973277,0.005734753771454049,1.7411186377163066,
Bimodal,10,10,10,-0.1641189207190891,-12.655253357040532,12.491134436321444,8.000193903397438,0.0727529017229317,0.2368718224420208,0.16268836378818433,
Outlier,10,10,10,-0.31754749712717734,-0.22088920880338003,0.0966582883237973,0.09201051714711346,-2.2665210041944617,1.9489735070672842,50.059058666370625,
Gaussian,10,10,10,0.15697060961119613,-0.40425461865874696,0.561225228269943,0.5101369907972593,-3.670042703649753,3.827013313260949,17.865749575567907,
Bimodal,10,10,10,0.1691121974575747,1.1119854794892254,0.9428732820316508,0.6873353093631156,-2.0359177332534766,2.2050299307110515,3.862332714233489,
Outlier,10,10,10,0.08372928834580903,0.3695410674248998,0.2858117790790907,0.236021236557883,0.17868189306446058,0.09495260471865155,0.8431137542226531,
Gaussian,10,10,10,0.6578187185039738,0.9217061158070745,0.26388739730310073,0.286535864114438,2.1565317195200535,1.4987130010160796,6.410916866349139,
Bimodal,10,10,10,0.38350178777177973,2.8799587030539673,2.4964569152821876,1.5269875528789874,1.002575309834027,0.6190735220622474,1.8981749353660504,
Outlier,10,10,10,60.09534965616601,-99.58112425231441,159.67647390848043,52.34637569535591,-2.6894229304453177,62.784772586611325,5.5830695957665455,
Gaussian,10,10,10,0.6545427078316348,0.7832066362946112,0.12866392846297636,0.13151265716865956,-2.3962639342530943,3.050806642084729,5.558132908970044,
Bimodal,10,10,10,0.25957266437291165,-0.30082025139175306,0.5603929157646648,0.49096590692131054,-0.7802235275691943,1.039796191942106,2.7898893752465628,
Outlier,10,10,10,0.06913836150830224,0.22154762211536455,0.1524092606070623,0.1588695278824721,-1.6057831592036156,1.674921520711918,4.133128433522794,
Gaussian,10,10,10,0.648569211430504,1.224107569693982,0.5755383582634781,0.2875676697275715,-0.6959451080425235,1.3445143194730274,3.730575352470147,
Bimodal,10,10,10,0.39134293595170716,16.05968047180553,15.668337535853825,5.465785034920559,-0.8827587636592567,1.2741016996109638,3.8118792875480096,
Outlier,10,10,10,0.11275591246156716,0.4566142168662407,0.3438583044046736,0.2667875940336098,1.3746864476341114,1.2619305351725443,5.510718485634131,
Gaussian,10,10,10,0.5375042677462172,0.4193410436474774,0.1181632240987398,0.08309719028011704,-1.0965707218992324,1.6340749896454496,4.029335398432033,
Bimodal,10,10,10,-0.1527061749500952,-0.8154204475089977,0.6627142725589025,0.2242398495908951,-0.6594488930693277,0.5067427181192325,2.617240564557324,
Outlier,10,10,10,0.22828948215150535,0.6871623776344561,0.45887289548295074,0.21390333059094768,-0.5018940641936762,0.7301835463451816,1.3521327920745958,
Gaussian,10,10,10,0.5630267971409869,0.8940076026629535,0.3309808055219666,0.22039329828791052,1.8956775421839407,1.3326507450429537,4.770680179840409,
Bimodal,10,10,10,0.14165631835416542,0.1825482974304898,0.040891979076324386,0.12404613841624279,0.6187275659956003,0.4770712476414349,2.216363608376507,
Outlier,10,10,10,-0.2021036948821778,0.03190367001653841,0.2340073648987162,0.20624020429313442,-0.8043374940509921,0.6022337991688143,1.2934732353121716,
Gaussian,25,25,10,0.7931328162557295,0.494728094691006,0.29840472156472353,0.057473014348980785,-1.4345162832870946,2.227649099542824,2.5332520186742777,
Bimodal,25,25,10,0.05143835107182607,-0.023039100121403595,0.07447745119322967,0.11710535717624723,1.9893440397329847,1.9379056886611585,7.277036883303429,
Outlier,25,25,10,0.08969359402269154,0.17241107736486422,0.08271748334217267,0.11605768587696091,-0.19466865470850003,0.2843622487311916,1.2986114115190892,
Gaussian,25,25,10,0.7049365615747953,0.6481462347267217,0.05679032684807361,0.0381559077908715,0.27001717566301064,0.4349193859117847,0.755556077336785,
Bimodal,25,25,10,0.8640337196058003,2.411173393175575,1.5471396735697747,0.4546135292968444,1.063912526531847,0.19987880692604665,3.6183100326289734,
Outlier,25,25,10,59.96076579622618,476.18068347036586,416.2199176741397,211.32186165798518,0.3235380299973901,59.63722776622879,2.3175591732580463,
Gaussian,25,25,10,0.756998622787044,0.911166943503075,0.15416832071603104,0.05898521713941654,-0.20309033395907913,0.9600889567461232,1.1692729502076482,
Bimodal,25,25,10,0.3263551161785439,-0.1121791242334242,0.4385342404119681,0.06263680144018853,0.5352238777605056,0.20886876158196171,1.4063053038941513,
Outlier,25,25,10,-0.05285609728168496,0.049558288035379164,0.10241438531706412,0.07982206306928025,-1.2983702439638791,1.2455141466821942,4.76533232076729,
Gaussian,25,25,10,0.7328941512386115,0.5957501554691245,0.137143995769487,0.07964849690436829,-3.3807010959200747,4.1135952471586865,6.685543778771718,
Bimodal,25,25,10,0.8134160017912795,1.7737041498248403,0.9602881480335608,0.40739710416424346,-51.02883290581395,51.84224890760523,148.95817404211758,
Outlier,25,25,10,42.36899217553718,1050.7262332793564,1008.3572411038192,815.9491742311485,-0.16236988006344194,42.531362055600624,3.5260055707449074,
Gaussian,25,25,10,0.5795775616565277,0.6147294862487223,0.03515192459219452,0.08164838649219874,-2.321276369631532,2.9008539312880597,7.1190019681788215,
